cu_num,M,N,K,kernelId,splitK,us,kernelName
304,96,128,512,234,3,3.9128,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,96,256,7168,234,3,11.5389,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,96,512,128,126,0,2.9568,a8w8_blockscale_bruteforce_1x128x128_256x32x32x128_8x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,96,2112,7168,478,1,15.5385,a8w8_blockscale_bruteforce_1x128x128_256x32x64x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_8_1x2_intrawave_v1
304,96,4096,7168,409,0,21.7517,a8w8_blockscale_bruteforce_1x128x128_256x32x64x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_1x2_intrawave_v1
304,96,7168,2048,1433,1,13.5036,a8w8_blockscale_bruteforce_1x128x128_256x32x128x256_16x16_32x32_16x16x1_16x16x1_1x8x1x32_4_1x1_intrawave_v1
304,96,7168,16384,3214,3,75.7775,a8w8_blockscale_bruteforce_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
304,96,24576,1536,749,1,26.6896,a8w8_blockscale_bruteforce_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_8_1x4_intrawave_v3
304,104,4096,7168,409,2,25.9852,a8w8_blockscale_bruteforce_1x128x128_256x32x64x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_1x2_intrawave_v1
304,104,7168,2048,2250,1,14.3188,a8w8_blockscale_bruteforce_1x128x128_256x64x64x256_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_2x2_intrawave_v1
304,112,4096,7168,389,2,26.0594,a8w8_blockscale_bruteforce_1x128x128_256x32x64x512_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x2_intrawave_v1
304,112,7168,2048,1997,2,13.753,a8w8_blockscale_bruteforce_1x128x128_256x64x64x256_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_1x4_intrawave_v1
304,120,4096,7168,409,0,26.6543,a8w8_blockscale_bruteforce_1x128x128_256x32x64x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_1x2_intrawave_v1
304,120,7168,2048,2310,0,14.6596,a8w8_blockscale_bruteforce_1x128x128_256x64x64x256_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x2_intrawave_v1
304,128,128,512,195,2,3.4085,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
