cu_num,M,N,K,kernelId,splitK,us,kernelName
304,8192,3072,1536,7462,1,120.7788,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_1x2_intrawave_v1
304,8192,4096,512,7389,0,72.0902,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_2x2_intrawave_v1
304,8192,4608,7168,7111,0,656.8402,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_2x2_intrawave_v3
304,8192,7168,256,7068,3,83.0087,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_2x4_intrawave_v1
304,8192,7168,2048,7107,3,310.018,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x2_intrawave_v3
304,8192,7168,2304,7389,2,323.4895,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_2x2_intrawave_v1
304,8192,8192,1536,7387,1,278.9705,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_8_1x4_intrawave_v1
304,8192,8192,7168,7067,2,1134.3003,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_1x4_intrawave_v3
304,16384,256,7168,7067,3,106.2092,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_1x4_intrawave_v3
304,16384,512,7168,7067,1,164.9872,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_1x4_intrawave_v3
304,16384,576,7168,6770,2,227.0921,a8w8_blockscale_1x128x128_256x128x64x128_16x8_32x32_8x32x1_8x32x1_1x32x1x8_8_1x2_intrawave_v3
304,16384,1536,7168,7111,2,475.3552,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_2x2_intrawave_v3
304,16384,1536,8192,7107,1,524.1242,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x2_intrawave_v3
304,16384,3072,1536,7387,1,220.2201,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_8_1x4_intrawave_v1
304,16384,4096,512,7462,2,131.9649,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_1x2_intrawave_v1
304,16384,4608,7168,7107,3,1280.8448,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x2_intrawave_v3
304,16384,7168,256,7068,2,155.4682,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_2x4_intrawave_v1
304,16384,7168,2048,7107,3,600.4152,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x2_intrawave_v3
304,16384,7168,2304,7460,2,631.8924,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,16384,8192,1536,7462,1,545.5643,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_1x2_intrawave_v1
304,16384,8192,7168,7107,2,2299.7348,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x2_intrawave_v3
304,29130,512,7168,7466,2,311.9333,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_2x1_intrawave_v1
304,29130,1536,7168,7460,1,900.4964,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,29130,1536,8192,7460,1,1040.5534,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,29130,3072,1536,7461,2,382.4828,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v3
304,29130,4096,512,7385,3,241.7796,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_1x2_intrawave_v1
304,29130,4608,7168,7390,1,2548.1111,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_2x2_intrawave_v3
304,29130,7168,256,7068,2,281.5809,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_2x4_intrawave_v1
304,29130,7168,2048,7460,3,1121.3689,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,29130,7168,2304,7461,0,1153.7912,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v3
304,29130,8192,1536,7461,3,938.4763,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v3
304,29130,8192,7168,9434,3,4393.1153,a8w8_blockscale_1x128x128_256x128x256x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_8_4x4_intrawave_v1
304,32768,256,7168,7067,1,191.8252,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_1x4_intrawave_v3
304,32768,512,7168,7107,2,351.1146,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x2_intrawave_v3
304,32768,576,7168,2517,2,444.895,a8w8_blockscale_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x2_intrawave_v1
304,32768,1536,7168,7067,1,918.912,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_1x4_intrawave_v3
304,32768,1536,8192,7107,3,1052.8269,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x2_intrawave_v3
304,32768,3072,1536,7391,1,419.5693,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_8_2x4_intrawave_v1
304,32768,4096,512,7462,3,259.3495,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_1x2_intrawave_v1
304,32768,4608,7168,7107,1,2562.223,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x2_intrawave_v3
304,32768,7168,256,7068,3,297.1048,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_2x4_intrawave_v1
304,32768,7168,2048,7067,3,1149.6266,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_1x4_intrawave_v3
304,32768,7168,2304,7466,0,1267.3721,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_2x1_intrawave_v1
304,32768,8192,1536,7462,2,1053.1809,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_1x2_intrawave_v1
304,32768,8192,7168,7107,0,4625.302,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x2_intrawave_v3
304,36864,256,7168,7107,2,199.0438,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x2_intrawave_v3
304,36864,512,7168,7107,3,370.0322,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x2_intrawave_v3
304,36864,576,7168,7460,2,468.4439,a8w8_blockscale_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
